ID,predicted_price
PU-1,1.831681915183038
PU-2,1.5243668682950857
PU-3,2.355450776493642
PU-4,1.8841995668208615
PU-5,2.9962193028059665
PU-6,1.583509966253032
PU-7,2.193781185740435
PU-8,1.9474891624537567
PU-9,1.4642053441185992
PU-10,1.495067124105932
PU-11,1.634764853710366
PU-12,2.7568862171607584
PU-13,1.089452607747392
PU-14,1.4860608119241125
PU-15,1.729106251192352
PU-16,0.7218890558058539
PU-17,3.0317812284795207
PU-18,3.2298890208844004
PU-19,1.3159295504294208
PU-20,2.3597719938978106
PU-21,1.8034929802029618
PU-22,2.0620681967762784
PU-23,2.620528123823255
PU-24,1.4990586693469683
PU-25,2.9698241776123235
PU-26,1.7510979405205536
PU-27,1.743492852591121
PU-28,1.608062476312019
PU-29,2.9558402787969
PU-30,2.1646891847284255
PU-31,3.828949564639387
PU-32,1.4234530607550235
PU-33,3.064463735365798
PU-34,1.5141768263380677
PU-35,1.6882069452511863
PU-36,1.4904718953629628
PU-37,2.9964010345070275
PU-38,2.790130008543737
PU-39,2.16593268691529
PU-40,1.600469718418394
PU-41,1.425920377255316
PU-42,1.47155541661354
PU-43,1.2303383069987257
PU-44,1.739547896890536
PU-45,2.1781444505498087
PU-46,1.694900429682475
PU-47,1.2786878876660834
PU-48,2.045133412543064
PU-49,0.9266861325823825
PU-50,2.91854523192525
PU-51,2.780357533329351
PU-52,1.9866056319643017
PU-53,1.9757011495101051
PU-54,2.441781865613121
PU-55,1.2146635391422191
PU-56,3.967280977126054
PU-57,3.928055476276007
PU-58,3.1718696206359804
PU-59,1.4787437052494679
PU-60,2.894009986155442
PU-61,1.4880120141047555
PU-62,1.4194277354532172
PU-63,1.9384659542347582
PU-64,1.2828879803037943
PU-65,4.9127839904078385
PU-66,2.2547468642623953
PU-67,1.7560090295777946
PU-68,1.1337800811168033
PU-69,1.347655988090661
PU-70,1.7265276864468189
PU-71,1.6462450865103517
PU-72,2.6480942252577853
PU-73,1.2327334865839839
PU-74,2.3320982603684226
PU-75,1.5097265768195274
PU-76,0.9620950181797805
PU-77,2.0255771868831522
PU-78,1.4442952736582808
PU-79,1.419636079929432
PU-80,1.3589956169092483
PU-81,1.4114867857092515
PU-82,1.4745309287355806
PU-83,1.391536828828448
PU-84,1.8496415392317163
PU-85,4.048488514362955
PU-86,1.3173259480838064
PU-87,3.317945864676719
PU-88,1.31694447900444
PU-89,3.168689849524753
PU-90,3.8523391182831186
PU-91,1.2888376986971726
PU-92,0.7367906235648303
PU-93,2.154298018757475
PU-94,1.8650624984960635
PU-95,1.9693515738197367
PU-96,1.557257978757184
PU-97,1.5431819611561775
PU-98,1.9891044345279565
PU-99,1.8921379850120252
PU-100,0.995697948541737
PU-101,1.445982050362526
PU-102,1.6905858941752085
PU-103,1.6980088440328842
PU-104,1.1676947856957454
PU-105,1.9044629649476188
PU-106,2.1358735241974136
PU-107,1.3052785259173003
PU-108,1.6118420865664316
PU-109,2.0563588597180074
PU-110,1.457068210535092
PU-111,1.3397446271849462
PU-112,2.163798596587703
PU-113,1.9684495094938277
PU-114,1.7938567712266877
PU-115,1.551785878215434
PU-116,1.6451216516273188
PU-117,1.6496282351355203
PU-118,2.127579641359015
PU-119,1.0919603131216755
PU-120,1.1907025053035212
PU-121,1.2553194420439562
PU-122,1.818419615923201
PU-123,2.095072102384321
PU-124,1.6546385375425121
PU-125,1.9723930209803484
PU-126,3.5372920363294926
PU-127,2.0689544801648605
PU-128,1.4797243452207307
PU-129,1.5659812203466923
PU-130,1.304289915768169
PU-131,2.0730239356252245
PU-132,1.0712832814983688
PU-133,2.0332057347627344
PU-134,1.5042143802953478
PU-135,1.6748722472375368
PU-136,1.9351191014171065
PU-137,1.5329677002483875
PU-138,1.8321954145110002
PU-139,1.103898985746667
PU-140,2.9309971534846855
PU-141,3.275074416466817
PU-142,1.134216157868814
PU-143,2.091790644657827
PU-144,1.5182935047865431
PU-145,2.2358807888929664
PU-146,1.4311410831134879
PU-147,1.6336742940987197
PU-148,1.1540512985802773
PU-149,1.2099295985773049
PU-150,2.499620718498651
PU-151,1.3214870877442868
PU-152,1.5930468748007969
PU-153,2.5926220533027724
PU-154,1.8209515414039754
PU-155,2.449043309427803
PU-156,1.557930104598599
PU-157,1.3164625147850009
PU-158,1.5099341753943678
PU-159,3.8067876509855503
PU-160,1.5826891585205902
PU-161,1.0096737561304603
PU-162,1.724752391669416
PU-163,0.9332191971274684
PU-164,3.495338373303746
PU-165,4.2622506166106735
PU-166,1.4825277146125626
PU-167,1.2860057672394252
PU-168,4.02090216922441
PU-169,1.888183314227537
PU-170,1.0317428844405825
PU-171,1.9626577476928992
PU-172,1.9292761075563005
PU-173,2.0419582387702837
PU-174,1.5573448909583965
PU-175,1.341613323350828
PU-176,1.6123653090045975
PU-177,2.4890760054300336
PU-178,2.970399349275961
PU-179,1.6698701653405355
PU-180,1.5211874150366382
PU-181,1.196169563578236
PU-182,3.689532252037012
PU-183,1.6238632632360317
PU-184,3.2788141300162335
PU-185,2.022073975216368
PU-186,3.55541112146966
PU-187,2.0801559845168174
PU-188,1.5037944992515362
PU-189,0.8816843281806659
PU-190,1.6185125106286447
PU-191,3.3595473434394942
PU-192,1.3834964868227804
PU-193,1.282688392193089
PU-194,0.7850766387398298
PU-195,1.9201848217762874
PU-196,3.934427921691134
PU-197,3.3272639442713072
PU-198,1.4763349593243378
PU-199,1.7172466644257605
PU-200,1.5738615347083131
PU-201,2.2586320950794443
PU-202,1.2891938096522635
PU-203,3.180687170399557
PU-204,2.163124694514375
PU-205,1.1002601342932845
PU-206,1.565812705198466
PU-207,1.5763433575597778
PU-208,1.671117440685053
PU-209,3.011529738783041
PU-210,1.8641287688461148
PU-211,1.2854091354958506
PU-212,1.635874367226315
PU-213,1.8479594703043905
PU-214,1.3571696543301583
PU-215,2.2544140952108336
PU-216,1.2487248064229646
PU-217,1.527185015199748
PU-218,2.2407160064865734
PU-219,1.8619299874473447
PU-220,1.9803084855367974
PU-221,1.5460844542647307
PU-222,1.5901937482075938
PU-223,1.6723120669883857
PU-224,1.882247899977155
PU-225,1.4860179609545257
PU-226,2.0478719248362265
PU-227,1.7435571420477363
PU-228,2.5032856199912925
PU-229,2.280344602820367
PU-230,1.231922567948898
PU-231,1.5474654819691596
PU-232,1.4824786541553507
PU-233,2.3595982604720587
PU-234,1.4732108564351716
PU-235,1.304889207970687
PU-236,1.6323429134679657
PU-237,2.3987839058991307
PU-238,3.600276435193267
PU-239,1.4840988104794786
PU-240,3.70366894179226
PU-241,3.0523756485509836
PU-242,2.9428778965944855
PU-243,2.8663796370609376
PU-244,1.6036896854286349
PU-245,1.8510662173483072
PU-246,2.663731539287055
PU-247,1.2094442140299493
PU-248,0.7089980686650594
PU-249,1.737776648328246
