"縣市","鄉鎮市區","路名","土地面積","使用分區","移轉層次","總樓層數","主要用途","主要建材","建物型態","屋齡","建物面積","車位面積","車位個數","備註","主建物面積","陽台面積","附屬建物面積","lng","lat","國中(高)","國中(中)","國中(下)","國小(明星)","最近火車站","最近客運站","最近捷運站","最近飯店","最近碼頭","最近高鐵站","最近航空站","最近主要道路建設","最近國小","最近國中","最近高中","最近專科","最近大學及研究所","最近幼稚園、托兒所","最近傳統市場","最近生活百貨量販","最近一般公園","最近里鄰公園","最近觀光遊憩設施","最近停車場地","最近服務性設施","最近行政機關","最近醫療保健","最近加油站","最近百貨公司","最近金融機構","最近娛樂設施","最近電力資源","最近產業用水及設施","最近工廠","最近商店","最近超級市場","最近大型購物中心","單價"
"新竹市","新竹市","榮濱南路",0.550379082262887,"None",7,15,"集合住宅","鋼筋混凝土造","住宅大樓(11層含以上有電梯)",3.16666666666667,0.14414044984401,1.25225536075111,0,NA,-0.0615290514812857,0.0164793129603563,-0.438451902820802,120.926807129002,24.833744556582,0,0,0,0,5610.55519837934,5515.9279523542,53499.9509706984,204.893172306001,1398.58439379519,11794.154615897,39737.8574238617,1395.49529630071,1051.2739977031,1010.7048131241,3850.27406022505,25995.2646293339,5575.76097589286,4727.35068997077,2744.3293492471,4011.01733562907,1495.55683204983,61991.3015012666,692.431494056226,1140.17296476884,4032.56102660071,741.636107716864,3868.99200632485,636.254987406408,5058.95198198622,1078.06402808839,738.411260326304,64724.6534230956,55803.9544418276,129088.60943252,130905.845728609,56211.8014822558,4005.28173519267,1.39538136379059
"新竹市","新竹市","成德路",0.118688241656085,"None",4,5,"住家用","鋼筋混凝土造","公寓(5樓含以下無電梯)",30.4166666666667,-0.602759246452295,-0.819325686372695,0,NA,-0.511326226821146,-0.142209727409856,-0.438451902820802,120.959370215416,24.7934532523636,0,0,0,0,1487.10051991663,1356.93224885419,51556.5175634552,479.897098192747,6274.59254965138,8316.43998785242,40052.4616774611,3550.99419988197,606.319598416141,748.459435249863,677.255581217113,25016.9667960898,561.781019457491,1296.84015088805,996.864758176186,1370.0265047748,324.212156567396,60480.702807491,159.889257855761,408.331963798068,1149.80428417129,248.861727616783,766.163447855028,586.381927770607,1069.11056904905,545.342308349213,945.479451024945,60302.4938774884,53372.6714020859,123990.582940214,128338.185432835,54348.3812640287,1276.37147161489,0.71612295157495
"新竹市","新竹市","武陵路",-0.182908927855927,"None",2,21,"住家用","鋼筋混凝土造","住宅大樓(11層含以上有電梯)",24.1666666666667,-0.0190284068853369,1.02053488568133,1,NA,-0.121219116888022,0.441356421048343,-0.195045405760366,120.967314384831,24.8228794507528,0,0,0,0,2202.70571271016,1826.69013351752,49836.4308874998,673.430159852144,4617.0213088522,7530.52711673511,37362.6362702804,465.814857262092,509.09341203423,769.09027135273,1240.3286043821,26120.4361053348,2868.45658549234,1812.12435781478,751.213031247391,541.544570215467,313.452704873146,58544.314676736,326.701376769465,404.219311897793,619.966778704402,720.92296574932,862.134473689752,942.499251383312,1614.32391063574,717.902464448384,1698.36330636015,63231.3339982733,56421.1464009819,126417.570444605,131412.048817764,52587.9042570965,1555.69292437298,1.30169054831257
"新竹市","新竹市","慈雲路",-0.598184845618143,"None",26,29,"集合住宅","鋼筋混凝土造","住宅大樓(11層含以上有電梯)",3,0.323396376955123,2.27337025422526,2,NA,-0.0793512037117328,-0.0944323819220497,0.59922842675264,121.012392282367,24.7894675973981,1,0,0,0,2217.89554780055,858.717661644479,46678.1293933379,1141.65056350828,10327.4718295905,3363.74794568189,36842.826028022,1111.12786915667,353.884712560599,234.360023860052,1087.7681467036,23189.0727219275,1258.94143983088,5221.02660349814,1237.42318521626,3260.63653110484,392.153397869893,55808.0162467185,599.838036622519,323.221485536803,352.127837862858,462.701249972888,2450.60598946774,298.246328838771,3916.57913984748,459.413853852751,3212.64893268252,59704.2151715431,55608.1588727986,121530.63668369,130168.519803033,49502.21254068,2491.45046965924,2.3791349263098
"新竹市","新竹市","武陵路",-0.472032678691013,"None",20,21,"住家用","鋼筋混凝土造","住宅大樓(11層含以上有電梯)",24.0833333333333,-0.210924175010695,-0.819325686372695,0,NA,-0.258987182542432,0.105208668866281,-0.259099747092059,120.967393732366,24.8220939801688,0,0,0,0,2122.78544572569,1751.05164284347,49852.275635008,639.429931381839,4670.7442744476,7506.88864047021,37412.2489324926,533.509777040619,468.991679855024,721.32931924973,1165.43553036797,26136.2393582292,2795.10840373604,1735.72991543406,738.742395984235,478.545745300359,235.51245698683,58567.2828704486,254.335769109944,356.680984915106,551.656436016088,645.041191351317,805.596184791862,862.549410071014,1543.92269058061,663.600686472833,1627.83744679967,63151.0398550053,56352.4695040073,126340.819719779,131341.455542872,52605.1078120061,1496.01510875852,1.48907217926861
"新竹市","新竹市","和平路",-0.381618418454804,"None",7,10,"住家用","鋼筋混凝土造","華廈(10層含以下有電梯)",21.5833333333333,-0.130488823101862,0.504570627859297,1,NA,0.0878375576881772,0.0557249896110536,-0.438451902820802,120.95527011496,24.8087104537203,0,1,0,0,1810.22172851839,1697.09593424647,51442.0844572531,367.628439135325,4849.1972428182,8601.98222942528,39246.1224544909,2351.62945552504,10.5750650119436,158.893792851821,281.618585274097,25827.8922437162,1759.90439903718,914.735740595876,810.70560574054,742.514997769406,587.403337419059,60232.5153912404,835.167986076435,272.043963403893,521.977674751525,161.389541265696,39.9397508263012,577.031133143277,1210.15565257073,310.036061445408,598.385848476015,61884.5066931076,54594.1806876726,125579.728956968,129609.407952031,54209.9246153615,369.94003930526,1.15178524354774
"新竹市","新竹市","關新路",0.351212953986049,"None",21,24,"集合住宅","鋼筋混凝土造","住宅大樓(11層含以上有電梯)",11,1.14670965756482,1.84700458009687,2,NA,0.864374190586237,0.494252767838413,0.752958845948706,121.02011611745,24.7874533723622,0,0,0,0,1415.57346882012,1657.03722132369,46035.1115515368,562.43322131549,11086.8121095139,2891.90031319881,36536.4602922436,1675.04704901867,326.180477067057,623.387130900778,549.529588106169,22602.4133920472,2054.12396270971,6032.06935193922,564.80800163037,3858.6553755428,422.520266649305,55206.8069825596,862.045627225088,504.641806002387,652.524418178635,600.394559902013,3250.61819241766,750.330053377709,4716.57376851672,515.486806967998,3321.0803468507,59511.6670051782,55846.3233626875,121052.335379651,130320.077623239,48865.5167857086,3254.15265576647,3.03497063465594
"新竹市","新竹市","光復路二段",1.49992108323907,"None",3,7,"住家用","鋼筋混凝土造","華廈(10層含以下有電梯)",26.6666666666667,0.252153636693014,-0.819325686372695,0,NA,0.101699231645192,0.378222071653742,-0.438451902820802,120.998773559091,24.7965646109769,1,0,0,0,2808.32032107337,136.922305251391,47692.1642723788,108.248775799185,8785.66101636671,4332.15936674722,37141.6753967705,1508.12144991238,386.656351457959,552.403953514108,372.678206116081,24098.4008350048,195.850533191186,3687.67616042031,2737.38156030324,1700.3358554984,1310.23585383544,56721.3259743366,48.346438844552,547.025110439746,85.142350394406,338.678492643921,888.856868575319,887.331714245149,2355.04753473037,136.922305251391,1797.94189626691,60429.7957550109,55528.1429800314,122716.858561813,130241.493057065,50500.1750136401,993.004258700979,1.58276299474663
"新竹市","新竹市","美之城",-0.389429326104131,"其他",5,10,"住家用","鋼筋混凝土造","華廈(10層含以下有電梯)",17.4166666666667,-0.160364810953714,0.961832365330324,1,NA,0.11414644907598,0.845757523927269,-0.438451902820802,120.958231103619,24.7690304519982,0,0,0,0,3574.75208003257,3497.73083319923,52566.347797803,118.290425551327,5479.08080028435,9197.38864277159,41957.0480135021,1141.64953049392,782.051131468644,2272.33817340161,2288.66795730471,23277.5992812785,1228.98587729165,3747.9857359489,3170.29710671177,3845.71357412542,1462.70032353983,61663.3402182532,1422.57933277662,2426.22030117341,3141.48138152542,975.91365395514,3058.57853321911,1540.21385383101,3448.26526024261,1268.35664597513,2964.25839730172,57835.0762516022,51098.6971959978,121769.2995475,126006.807059301,55387.5208752648,2954.8425306191,1.13773162122604
"新竹市","新竹市","大庄路",0.569413663365247,"None",10,10,"集合住宅","鋼筋混凝土造","華廈(10層含以下有電梯)",2.83333333333333,0.0022295075477115,1.15647756438894,1,NA,-0.333104704516673,-0.476651145824495,0.917364988700054,120.923864478763,24.792130251501,0,0,0,0,3118.60614720763,4804.73309003719,55009.1760938516,673.164263540947,3366.62113459199,11907.4441458789,42727.3234126776,579.282063940573,451.604522294408,943.995467232395,980.207689638188,22442.465176151,2222.67061358003,4270.08150912813,4274.93112722671,4175.54091184519,140.565251065779,63835.6338698138,1616.1253411834,1984.35437811982,581.806254986559,258.742176353938,3654.20613351999,551.552417359226,4330.60253281117,587.60739496205,650.371530794099,60566.6151171178,51761.3184233648,125374.048793096,126848.311192754,57785.377241396,3984.35340074025,1.23142243670406
