ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,備註,主建物面積,陽台面積,附屬建物面積,lon,lat,加油站數量(500公尺內),最近加油站距離,廟宇數量(500公尺內),最近廟宇距離,腳踏車站點數量(500公尺內),最近腳踏車距離,公車站點數量(500公尺內),最近公車站點距離,便利商店數量(500公尺內),最近便利商店距離,醫療機構數量(500公尺內),最近醫療機構距離,捷運站點數量(500公尺內),最近捷運站距離,郵局數量(500公尺內),最近郵局距離,火車站點數量(500公尺內),最近火車站點距離,國小數量(500公尺內),最近國小距離,國中數量(500公尺內),最近國中距離,高中數量(500公尺內),最近高中距離,大學數量(500公尺內),最近大學距離,ATM數量(500公尺內),最近ATM距離,金融機構數量(500公尺內),最近金融機構距離
PU-1,新北市,樹林區,大有路,2.0393784158445800,,3,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),13.916666666666700,0.4722017779864630,0.1461762930847090,1.0,,0.8496638427134870,0.1461606792844000,-0.4384519028208030,121.38368412642300,24.949745262233400,1,442.73734082685600,2,357.06806513051200,7,126.26911197288700,142,117.37625511971700,6,137.41016811622500,7,115.62346299703000,0,3891.4864662683400,0,809.3474154618800,0,2663.315058935590,1,121.2458133,1,121.24581334907400,0,748.2308271995410,0,1456.1482995850300,6,137.41016811693000,0,539.4852664340210
PU-2,新北市,三重區,力行路一段,-0.0777861276769849,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),40.833333333333300,-0.5464545001161120,-0.8193256863726950,0.0,,-0.0041021165165111,0.0642566584481619,-0.4384519028208030,121.4832360907460,25.068862111543700,0,828.6000936514590,0,613.3842290045320,19,92.91103714767080,110,13.136509117412000,23,140.5503225959610,22,128.94639091557100,0,915.0389795277370,1,327.72281540758600,0,4187.993251313400,1,255.6243218,1,466.23761370802300,1,210.94338375771800,0,3895.8834583096600,31,121.60110544555600,4,254.64949792292200
PU-3,新北市,板橋區,民生路三段,-0.555765608691798,,2,20,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.3333333333333300,0.1240316118668010,-0.167418749843056,1.0,,-0.2858618565407250,-0.7752595551232810,1.3230424838007800,121.46573043508000,25.029320679077900,0,864.2431087570860,0,531.4545045969310,15,277.7892175967660,28,138.52838664872800,23,232.2923097396420,26,224.02558662491100,1,371.25634287714900,0,711.9224133413120,0,1635.971514098590,0,910.6686304,1,279.9381371368560,0,1458.127993531980,0,912.814530651129,26,235.94830401768100,2,295.75227065327300
PU-4,新北市,泰山區,明志路二段,-0.7448376409295060,,6,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.5,-0.0270719420762203,0.115280229742072,1.0,,0.0275817096709508,0.3167940560265630,-0.1395316432728970,121.42691197288200,25.047981112309700,0,1272.6606278485000,5,124.97896122796500,4,257.64138322763900,102,8.608166149970850,7,14.95486198022400,12,127.2503476765210,0,1389.6466455789300,0,741.5769740705940,0,5174.9095640410900,1,354.3509497,0,605.6522982530060,0,1123.0264100885900,0,902.6220584838460,11,32.46267563649470,3,132.9639188965840
PU-5,台北市,信義區,忠孝東路五段,-0.6109226334770450,,3,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),40.5,-0.8635996019280810,-0.8193256863726950,0.0,,-0.8833282932185770,-0.5602615004281550,-0.0754773019412033,121.57579479637300,25.038992296887200,1,201.63283120808700,3,109.56077003473400,10,86.90953851599550,154,116.3503463760890,25,65.72672287107370,94,46.45049755392880,1,210.35108688423100,1,206.2782262184740,0,1171.1929955882500,0,576.5013858,1,458.3696884444750,1,373.38362401758600,0,2080.0132604370100,44,63.834884581054500,16,109.56077003473400
PU-6,新北市,三重區,溪尾街,0.5490572363530010,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),35.0,-0.3936273314893300,-0.8193256863726950,0.0,,0.2643617321611790,-0.056893039038774,-0.4384519028208030,121.48850087948900,25.084210670502900,1,165.08741644576800,1,220.91200355551000,9,114.39395304315000,133,98.99691375010540,20,58.17558467457650,31,87.73560093055690,0,875.6514968256400,0,586.1123639268880,0,4980.834253831450,1,188.751552,0,677.8317356317640,1,382.25389619326700,0,3854.6939904348400,19,53.905297540614300,3,353.715788633438
PU-7,新北市,泰山區,明志路二段,-0.6959533758257180,,8,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.75,-0.511982206440898,0.7996280327814800,1.0,,-0.75008648844809,-0.8742269136337350,0.3686327979585420,121.42693357594100,25.048495655471700,0,1254.649051524900,5,90.24039308669630,4,231.83290391422800,102,52.01527166304100,8,55.542783390203100,12,76.40628072575320,0,1364.8547547849900,0,714.588970531766,0,5227.623626257870,1,411.2565478,0,566.2636476700920,0,1067.4038627812200,0,952.8604211984310,11,42.647183617559700,4,80.2779999438807
PU-8,新北市,泰山區,仁義路,-0.7807197489924140,,3,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.75,-0.1144017527200960,0.3145598383020800,1.0,,-0.1942050736412820,-0.2121694118741420,0.1529831821418390,121.43327604737500,25.054047662880900,2,431.4271813054820,0,604.513285899661,6,171.39562394138100,165,217.471940427095,12,32.08828942394090,16,138.41142229789300,0,627.8666855538880,1,304.56181115361600,0,5322.040167139600,0,519.5286716,1,325.9864208249140,0,547.5978465046320,0,1821.433409182180,15,71.65492938775070,2,282.7161075571210
PU-9,桃園市,蘆竹區,中山路,-0.2272748833041040,,14,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),22.75,1.2242723183340500,0.8382481119597760,1.0,,1.6324240843269400,0.9669072214142050,-0.3018026413131890,121.29828197587600,25.05603227895250,0,747.3870532369370,3,330.4524512426070,4,310.48330268491400,56,36.899286812864900,11,29.658852225373400,12,74.40344031217140,0,3064.101264403970,0,804.7250463782390,0,7548.34295092234,0,712.0368901,1,141.84955852430600,1,416.2555314964000,0,5732.947016137020,13,42.13117401955610,1,141.23496831971200
PU-10,新北市,新莊區,幸福路,0.2198455041053690,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.333333333333300,-0.6309116196203860,-0.8193256863726950,0.0,,0.0001412530621669,-0.7889102252626540,-0.4384519028208030,121.45352669481800,25.04931966158740,1,180.64196464955000,2,35.44831111181910,10,165.52119539339500,152,14.255486544806100,29,103.61582832729700,77,20.83935054492900,0,683.3792292746220,2,219.59235255572800,0,3966.413309872630,2,310.2220215,0,797.4348876278910,0,1403.1624864038000,0,2680.5463753647800,45,104.35656577715600,9,187.49633416600400
